Timestamp;Temperature (°C);Humidity (%);NH3 (ppm);Lux
25/04/26 15.42;32,0;82,7;11,8;106,0
25/04/26 16.12;31,8;83,3;30,9;96,0
25/04/26 16.42;31,9;83,0;25,0;87,3
25/04/26 17.12;32,0;82,7;15,8;60,7
25/04/26 17.42;32,0;82,7;25,3;40,7
25/04/26 18.12;31,8;83,3;10,9;23,3
25/04/26 18.42;31,6;83,9;16,9;23,3
25/04/26 19.12;31,4;84,4;14,0;23,3
25/04/26 19.42;31,1;85,3;15,0;23,3
25/04/26 20.12;30,8;86,2;14,0;23,3
25/04/26 20.42;30,7;86,4;9,9;23,3
25/04/26 21.12;30,5;87,0;10,1;0,0
25/04/26 21.42;30,1;88,1;12,5;0,0
25/04/26 22.12;29,6;89,6;7,5;0,0
25/04/26 22.42;29,2;90,7;9,3;0,0
25/04/26 23.12;29,0;91,3;11,0;0,0
25/04/26 23.42;28,4;93,0;12,3;0,0
26/04/26 00.12;28,2;93,5;7,5;0,0
26/04/26 00.42;28,0;94,1;9,3;0,0
26/04/26 01.12;27,8;94,7;11,0;0,0
26/04/26 01.42;27,4;95,8;12,2;0,0
26/04/26 02.12;27,0;96,9;11,8;0,0
26/04/26 02.42;26,7;97,8;12,2;0,0
26/04/26 03.12;26,5;98,4;12,1;0,0
26/04/26 03.42;26,3;98,9;14,2;0,0
26/04/26 04.12;26,1;99,5;10,9;0,0
26/04/26 04.42;26,0;99,8;13,5;23,3
26/04/26 05.12;26,0;99,8;13,6;23,3
26/04/26 05.42;26,0;99,8;14,1;25,7
26/04/26 06.12;26,1;99,5;14,2;30,4
26/04/26 06.42;26,4;98,6;13,9;34,7
26/04/26 07.12;26,7;97,8;14,7;41,1
26/04/26 07.42;27,0;96,9;13,6;50,3
26/04/26 08.12;27,4;95,8;16,8;60,5
26/04/26 08.42;27,8;94,7;20,1;63,7
26/04/26 09.12;28,2;93,5;14,0;70,9
26/04/26 09.42;28,6;92,4;13,6;93,3
26/04/26 10.12;29,7;89,3;21,9;110,1
26/04/26 10.42;30,0;88,4;16,3;128,8
26/04/26 11.12;30,4;87,3;19,0;117,6
26/04/26 11.42;30,7;86,4;17,4;138,1
26/04/26 12.12;31,3;84,7;17,6;143,7
26/04/26 12.42;31,6;83,9;14,0;171,7
26/04/26 13.12;31,9;83,0;17,4;164,3
26/04/26 13.42;32,2;82,2;20,0;141,9
26/04/26 14.12;32,3;81,9;17,0;132,8
26/04/26 14.42;32,7;80,8;18,4;127,5
26/04/26 15.12;33,0;79,9;17,3;102,4
26/04/26 15.42;32,9;80,2;26,4;90,2
26/04/26 16.12;33,0;79,9;29,5;87,3
26/04/26 16.42;33,2;79,3;18,3;60,3
26/04/26 17.12;32,8;80,5;17,5;40,4
26/04/26 17.42;32,1;82,5;17,0;30,2
26/04/26 18.12;31,8;83,3;20,8;23,3
26/04/26 18.42;31,5;84,2;24,3;23,3
26/04/26 19.12;31,2;85,0;24,4;23,3
26/04/26 19.42;31,0;85,6;24,1;23,3
26/04/26 20.12;30,7;86,4;22,2;23,3
