date,total_eggs
2026-04-25,1372
2026-04-26,1401
2026-04-27,1299
2026-04-28,1400
2026-04-29,1452
2026-04-30,1570
2026-05-01,1684
2026-05-02,1709
2026-05-03,1693
2026-05-04,1855
2026-05-05,1390
2026-05-06,1245
2026-05-07,1412
2026-05-08,1758
2026-05-09,1463
2026-05-10,2196
2026-05-11,1413
2026-05-12,1542
2026-05-13,1533
2026-05-14,1385
2026-05-15,1639
2026-05-16,1537
2026-05-17,1439
2026-05-18,1498
2026-05-19,1384
2026-05-20,1634
2026-05-21,1514
2026-05-22,1656
2026-05-23,1038
2026-05-24,1497
2026-05-25,1793
