date,suhu_rata,suhu_max,suhu_min,lembap_rata,lembap_max,amonia_rata,amonia_max,cahaya_rata,cahaya_max,jumlah_baris,THI,Kategori_THI,S_THI,S_amonia,S_cahaya,ESI,Kategori_ESI,total_eggs
2026-04-25,30.76,32.0,28.4,86.27,93.0,13.83,25.3,27.16,106.0,16,85.12,Stres,1.0,0.2553,0.0,0.5394,Perlu Perhatian,1372
2026-04-26,29.37,33.2,26.0,90.2,99.8,16.82,29.5,50.92,171.7,48,83.4,Stres,1.0,0.4547,0.0,0.6091,Kritis,1401
2026-04-27,29.08,33.3,26.0,91.05,99.8,17.41,27.9,55.21,154.9,48,83.03,Stres,1.0,0.494,0.0,0.6229,Kritis,1299
2026-04-28,29.43,34.5,26.0,90.04,99.8,15.83,26.8,62.11,180.9,47,83.48,Stres,1.0,0.3887,0.0,0.586,Perlu Perhatian,1400
2026-04-29,28.53,32.4,25.0,91.53,99.8,11.56,19.3,50.13,183.3,49,82.16,Stres,1.0,0.104,0.0,0.4864,Perlu Perhatian,1452
2026-04-30,27.63,34.8,24.8,90.81,98.0,11.61,20.4,36.4,145.8,47,80.52,Stres,0.8943,0.1073,0.0,0.44,Perlu Perhatian,1570
2026-05-01,28.76,34.8,24.5,87.37,98.1,10.94,15.4,46.77,191.7,46,81.95,Stres,0.9964,0.0627,0.0,0.4703,Perlu Perhatian,1684
2026-05-02,28.88,34.3,25.7,87.96,97.2,13.41,26.4,37.98,167.5,48,82.24,Stres,1.0,0.2273,0.0,0.5296,Perlu Perhatian,1709
2026-05-03,28.83,34.2,26.1,87.2,96.7,12.8,20.7,47.57,188.3,40,82.05,Stres,1.0,0.1867,0.0,0.5153,Perlu Perhatian,1693
2026-05-04,26.83,31.9,25.9,93.96,98.7,15.92,24.6,31.45,156.7,39,79.54,Stres,0.8243,0.3947,0.0,0.5091,Perlu Perhatian,1655
2026-05-05,26.01,29.7,24.7,96.93,99.9,12.66,17.4,34.83,170.8,18,78.46,Stres,0.7471,0.1773,0.0,0.3982,Perlu Perhatian,1390
2026-05-07,27.97,30.7,26.7,86.92,92.4,10.05,11.9,20.14,93.3,16,80.57,Stres,0.8979,0.0033,0.0,0.4052,Perlu Perhatian,1412
2026-05-08,27.92,32.5,25.5,87.48,97.8,15.71,29.5,33.58,154.3,38,80.56,Stres,0.8971,0.3807,0.0,0.5369,Perlu Perhatian,1758
2026-05-09,27.72,30.7,25.9,91.78,96.1,18.56,27.9,16.44,53.3,33,80.8,Stres,0.9143,0.5707,0.0,0.6112,Kritis,1463
2026-05-10,28.89,33.8,26.2,88.05,99.9,16.27,26.8,46.1,190.0,40,82.27,Stres,1.0,0.418,0.0,0.5963,Perlu Perhatian,1596
2026-05-11,27.66,30.6,25.4,93.97,99.9,14.27,21.0,19.63,101.7,31,80.99,Stres,0.9279,0.2847,0.0,0.5172,Perlu Perhatian,1413
2026-05-12,27.67,32.9,24.6,90.62,97.2,11.44,18.1,27.76,160.0,34,80.56,Stres,0.8971,0.096,0.0,0.4373,Perlu Perhatian,1542
2026-05-13,28.6,33.7,25.6,86.21,94.8,15.7,26.4,36.1,158.3,38,81.52,Stres,0.9657,0.38,0.0,0.5676,Perlu Perhatian,1533
2026-05-14,27.69,33.7,25.7,93.07,99.9,15.59,21.0,29.85,166.8,37,80.92,Stres,0.9229,0.3727,0.0,0.5458,Perlu Perhatian,1385
2026-05-15,27.15,29.5,25.7,99.75,99.9,13.39,18.2,22.46,146.7,32,80.84,Stres,0.9171,0.226,0.0,0.4918,Perlu Perhatian,1639
2026-05-16,28.25,32.8,26.1,98.23,99.9,9.03,16.8,45.76,160.0,37,82.6,Stres,1.0,0.0,0.0,0.45,Perlu Perhatian,1537
2026-05-17,27.74,31.9,25.6,97.76,99.9,11.83,25.6,43.67,177.5,40,81.63,Stres,0.9736,0.122,0.0,0.4808,Perlu Perhatian,1439
2026-05-18,27.94,33.1,25.2,97.58,99.9,13.64,26.8,43.59,188.0,36,81.96,Stres,0.9971,0.2427,0.0,0.5336,Perlu Perhatian,1498
2026-05-19,28.53,33.5,26.8,97.97,99.9,15.66,26.2,40.17,181.7,38,83.07,Stres,1.0,0.3773,0.0,0.5821,Perlu Perhatian,1384
2026-05-20,28.65,33.5,25.9,97.34,99.9,18.71,29.4,42.83,187.5,35,83.19,Stres,1.0,0.5807,0.0,0.6532,Kritis,1634
2026-05-21,29.08,33.3,26.9,99.0,99.9,15.68,25.0,33.72,191.7,36,84.2,Stres,1.0,0.3787,0.0,0.5825,Perlu Perhatian,1514
2026-05-22,28.3,33.4,25.9,99.66,99.9,15.04,27.0,29.3,174.2,42,82.89,Stres,1.0,0.336,0.0,0.5676,Perlu Perhatian,1656
2026-05-23,28.12,32.9,25.8,99.74,99.9,16.16,25.1,43.92,190.0,45,82.58,Stres,1.0,0.4107,0.0,0.5937,Perlu Perhatian,1538
2026-05-24,28.61,33.0,26.1,99.67,99.9,12.15,25.3,45.0,189.2,45,83.45,Stres,1.0,0.1433,0.0,0.5002,Perlu Perhatian,1497
2026-05-25,28.91,33.6,25.3,98.66,99.9,17.17,29.5,58.8,186.7,41,83.84,Stres,1.0,0.478,0.0,0.6173,Kritis,1693
